"Date","Price","Open","High","Low","Vol.","Change %"
"12/09/2005","10,778.58","10,751.76","10,805.95","10,729.91","238.93M","0.22%"
"12/08/2005","10,755.12","10,808.43","10,847.25","10,729.67","253.29M","-0.52%"
"12/07/2005","10,810.91","10,856.86","10,868.06","10,764.01","243.49M","-0.42%"
"12/06/2005","10,856.86","10,835.41","10,924.90","10,835.41","264.63M","0.20%"
"12/05/2005","10,835.01","10,876.95","10,876.95","10,810.67","237.34M","-0.39%"
"12/02/2005","10,877.51","10,912.01","10,921.37","10,861.66","214.90M","-0.32%"
"12/01/2005","10,912.57","10,806.03","10,934.90","10,806.03","256.98M","0.99%"
